journal_no,journal_accreditation,journal_url
2336,Exposure : Jurnal Pendidikan Bahasa Inggris,http://journal.unismuh.ac.id/index.php/exposure
2337,Jurnal Imiah Pendidikan dan Pembelajaran,https://ejournal.undiksha.ac.id/index.php/JIPP
2338,"Jurnal Muara Sains, Teknologi, Kedokteran, dan Ilmu Kesehatan",http://journal.untar.ac.id/index.php/jmistki
2339,Jurnal Manajemen (Edisi Elektronik),http://ejournal.uika-bogor.ac.id/index.php/manajemen
2340,Jurnal Ilmu Keperawatan Jiwa,https://journal.ppnijateng.org/index.php/jikj
2341,At-Ta'lim : Media Informasi Pendidikan Islam,https://ejournal.iainbengkulu.ac.id/index.php/attalim
2342,"Paedagoria : Jurnal Kajian, Penelitian dan Pengembangan Kependidikan",http://journal.ummat.ac.id/index.php/paedagoria
2343,International Journal of Indonesian Education and Teaching (IJIET),http://e-journal.usd.ac.id/index.php/IJIET
2344,Jurnal Akademika Baiturrahim Jambi,http://jab.stikba.ac.id/index.php/jab
2345,JWM (Jurnal Wawasan Manajemen),http://jwm.ulm.ac.id/id/index.php/jwm
2346,Jurnal Pendidikan Ekonomi Undiksha,https://ejournal.undiksha.ac.id/index.php/JJPE
2347,JARI : Jurnal Akuakultur Rawa Indonesia,https://ejournal.unsri.ac.id/index.php/jari
2348,Teknoin,https://journal.uii.ac.id/jurnal-teknoin
2349,Medika Respati : Jurnal Ilmiah Kesehatan,http://medika.respati.ac.id/index.php/Medika
2350,Jurnal Komunikasi,http://journal.uii.ac.id/jurnal-komunikasi
2351,Paudia : Jurnal Penelitian dalam Bidang Pendidikan Anak Usia Dini,http://journal.upgris.ac.id/index.php/paudia
2352,Jurnal Pendidikan Ekonomi (JPE) ,http://journal2.um.ac.id/index.php/jpe/
2353,Jurnal Ilmiah Platax,https://ejournal.unsrat.ac.id/index.php/platax
2354,English Education: Jurnal Tadris Bahasa Inggris,http://ejournal.radenintan.ac.id/index.php/ENGEDU
2355,Husada Mahakam: Jurnal Kesehatan,http://husadamahakam.poltekkes-kaltim.ac.id/ojs/index.php/Home
2356,Arkhais: Jurnal Ilmu Bahasa dan Sastra Indonesia,http://journal.unj.ac.id/unj/index.php/arkhais/index
2357,Jurnal BETA (Biosistem dan Teknik Pertanian),https://ojs.unud.ac.id/index.php/beta
2358,Journal of Management and Business Review,http://www.jmbr.ppm-school.ac.id/index.php/jmbr
2359,Jurnal Kesehatan Indonesia (The Indonesian Journal of Health),https://journal.stikeshb.ac.id/index.php/jurkessia/index
2360,"Jurnal Ilmiah MEA (Manajemen, Ekonomi, dan Akuntansi)",http://journal.stiemb.ac.id/index.php/mea
2361,Jurnal Dimensi Fakultas Seni Rupa dan Desain,http://www.trijurnal.lemlit.trisakti.ac.id/index.php/dimensi
2362,Journal of Family Sciences,http://journal.ipb.ac.id/index.php/jfs
2363,Fullerene Journal of Chemistry,https://indochembull.com/index.php/fulerene
2364,Jurnal Ilmiah Syi'ar,https://ejournal.iainbengkulu.ac.id/index.php/syiar/index
2365,Jurnal Manajemen Pelayanan Publik,http://jurnal.unpad.ac.id/jmpp
2366,Tik Ilmeu : Jurnal Ilmu Perpustakaan dan Informasi,http://journal.staincurup.ac.id/index.php/TI/index
2367,Common: Jurnal Program Studi Ilmu Komunikasi FISIP Unikom,https://ojs.unikom.ac.id/index.php/common
2368,Al-Tarbawi Al-Haditsah : Jurnal Pendidikan Islam,http://www.syekhnurjati.ac.id/jurnal/index.php/tarbawi
2369,Jurnal Kepemimpinan dan Manajemen Keperawatan,https://journal.ppnijateng.org/index.php/jkmk
2370,Journal of Nursing Care,http://jurnal.unpad.ac.id/jnc
2371,JURNAL TEKNIK SIPIL,http://puslit2.petra.ac.id/ejournal/index.php/jurnal-teknik-sipil
2372,JSM (Jurnal Surya Medika),http://journal.umpalangkaraya.ac.id/index.php/jsm
2373,Jurnal Ekonomi dan Bisnis Jagaditha,https://ejournal.warmadewa.ac.id/index.php/jagaditha
2374,Jurnal Jurnalisa : Jurnal Jurusan Jurnalistik,http://journal.uin-alauddin.ac.id/index.php/jurnalisa/index
2375,Mathline : Jurnal Matematika dan Pendidikan Matematika,https://mathline.unwir.ac.id/index.php/Mathline
2376,Mahkamah: Jurnal Kajian Hukum Islam,http://www.syekhnurjati.ac.id/jurnal/index.php/mahkamah
2377,JURNAL INDRIA: Jurnal Ilmiah Pendidikan Prasekolah dan Sekolah Awal,http://journal.umpo.ac.id/index.php/indria/issue/archive
2378,JSHP (Jurnal Sosial Humaniora dan Pendidikan),https://jurnal.poltekba.ac.id/index.php/jsh
2379,Journal of Nursing Care and Biomolecular,http://jnc.stikesmaharani.ac.id/index.php/JNC
2380,Jurnal Riset Ekonomi dan Bisnis,http://journals.usm.ac.id/index.php/jreb
2381,International Journal of Law Reconstruction,http://jurnal.unissula.ac.id/index.php/lawreconstruction
2382,PUBLIS (Publication Library and Information Science),http://journal.umpo.ac.id/index.php/PUBLIS
2383,Agrotekma: Jurnal Agroteknologi dan Ilmu Pertanian,http://ojs.uma.ac.id/index.php/agrotekma
2384,JOSSAE (Journal of Sport Science and Education),https://journal.unesa.ac.id/index.php/jossae
2385,Religi : Jurnal Studi Agama-agama,http://ejournal.uin-suka.ac.id/ushuluddin/Religi
2386,Bioscience,http://ejournal.unp.ac.id/index.php/bioscience
2387,"Anuva: Jurnal Kajian Budaya, Perpustakaan, dan Informasi",https://ejournal2.undip.ac.id/index.php/anuva/index
2388,Stilistika: Jurnal Pendidikan Bahasa dan Sastra,http://journal.um-surabaya.ac.id/index.php/Stilistika/index
2389,Perspektif Komunikasi: Jurnal Ilmu Komunikasi Politik dan Komunikasi Bisnis,https://jurnal.umj.ac.id/index.php/perspektif
2390,Edukasi : Jurnal Penelitian dan Artikel Pendidikan,http://journal.ummgl.ac.id/index.php/edukasi
2391,NERS:Jurnal Keperawatan,http://ners.fkep.unand.ac.id/
2392,Techne : Jurnal Ilmiah Elektroteknika,http://ojs.jurnaltechne.org/index.php/techne/index
2393,Jurnal Pendidikan Bahasa,http://journal.ikippgriptk.ac.id/index.php/bahasa
