journal_no,journal_name,journal_accreditation,journal_url
261,Journal on English as a Foreign Language (JEFL),S2,http://e-journal.iain-palangkaraya.ac.id/index.php/jefl/index
262,Buletin Ilmiah Marina : Sosial Ekonomi Kelautan dan Perikanan,S2,http://ejournal-balitbang.kkp.go.id/index.php/mra
263,Indonesian Journal of Clinical Pathology and Medical Laboratory (IJCPML),S2,http://www.indonesianjournalofclinicalpathology.or.id/index.php/patologi
264,Forum Geografi,S2,http://journals.ums.ac.id/index.php/fg/issue/archive
265,Jurnal Penelitian Politik,S2,http://ejournal.politik.lipi.go.id/index.php/jpp
266,Buletin Peternakan,S2,http://buletinpeternakan.fapet.ugm.ac.id
267,Mimbar : Jurnal Sosial dan Pembangunan,S2,https://ejournal.unisba.ac.id/index.php/mimbar
268,JKAP (Jurnal Kebijakan dan Administrasi Publik),S2,https://journal.ugm.ac.id/jkap
269,Studies in English Language and Education,S2,http://www.jurnal.unsyiah.ac.id/SiELE
270,Jurnal Psikologi,S2,http://jurnal.ugm.ac.id/jpsi
271,JDM (Jurnal Dinamika Manajemen),S2,https://journal.unnes.ac.id/nju/index.php/jdm/index
272,Journal of Government and Civil Society,S2,http://jurnal.umt.ac.id/index.php/jgs
273,Jurnal SPORTIF,S2,http://ojs.unpkediri.ac.id/index.php/pjk
274,INTERMESTIC: Journal of International Studies,S2,http://intermesticjournal.fisip.unpad.ac.id/index.php/intermestic
275,Varia Justicia,S2,http://journal.ummgl.ac.id/index.php/variajusticia/
276,Islamica: Jurnal Studi Keislaman,S2,http://islamica.uinsby.ac.id/index.php/islamica/index
277,Jurnal Tadris Kimiya,S2,http://journal.uinsgd.ac.id/index.php/tadris-kimiya/index
278,Al Ibtida: Jurnal Pendidikan Guru MI,S2,http://www.syekhnurjati.ac.id/jurnal/index.php/ibtida
279,Jurnal Pendidikan Islam,S2,http://journal.uinsgd.ac.id/index.php/jpi/index
280,"EduLite: Journal of English Education, Literature and Culture",S2,http://jurnal.unissula.ac.id/index.php/edulite/index
281,Shirkah Journal of Economics and Business,S2,http://shirkah.or.id/new-ojs/index.php/home
282,Jurnal Vektor Penyakit ,S2,http://ejournal.litbang.depkes.go.id/index.php/vektorp
