,journal_name,journal_url,journal_accreditation
0,Mimbar PGSD Undiksha,https://ejournal.undiksha.ac.id/index.php/JJPGSD,S2 Accredited
0,Journal of Leadership in Organization,https://jurnal.ugm.ac.id/leadership,S2 Accredited
0,IJEE (Indonesian Journal of English Education),http://journal.uinjkt.ac.id/index.php/ijee,S2 Accredited
0,Jurnal Geologi dan Sumberdaya Mineral,http://jgsm.geologi.esdm.go.id/index.php/JGSM,S2 Accredited
0,Jurnal Teknologi Informasi dan Ilmu Komputer,https://jtiik.ub.ac.id/index.php/jtiik,S2 Accredited
0,"Journal The Winners : Economics, Business, Management, and Information System Journal",https://journal.binus.ac.id/index.php/winners,S2 Accredited
0,International Journal of Education,http://ejournal.upi.edu/index.php/ije,S2 Accredited
0,Jurnal FIlsafat,https://jurnal.ugm.ac.id/wisdom/index,S2 Accredited
0,JURNAL PEMBANGUNAN HUKUM INDONESIA,https://ejournal2.undip.ac.id/index.php/jphi,S2 Accredited
0,Jurnal Obsesi: Jurnal Pendidikan Anak Usia Dini,https://obsesi.or.id/index.php/obsesi,S2 Accredited
0,International Journal of Islamic Economics and Finance (IJIEF),http://journal.umy.ac.id/index.php/ijief,S2 Accredited
0,JURNAL HAMA DAN PENYAKIT TUMBUHAN TROPIKA,http://jhpttropika.fp.unila.ac.id/index.php/jhpttropika,S2 Accredited
0,Jurnal Prima Edukasia,http://journal.uny.ac.id/index.php/jpe,S2 Accredited
0,Journal of Education and Learning (EduLearn),http://edulearn.intelektual.org,S2 Accredited
0,Jurnal Hortikultura,http://ejurnal.litbang.pertanian.go.id/index.php/jhort,S2 Accredited
0,Jurnal Pendidikan Matematika,http://ejournal.unsri.ac.id/index.php/jpm,S2 Accredited
0,Jurnal HAM,http://ejournal.balitbangham.go.id/index.php/ham,S2 Accredited
0,Jurnal Penelitian Hukum De Jure,http://ejournal.balitbangham.go.id/index.php/dejure,S2 Accredited
0,Jurnal Elemen Program Studi Pendidikan Matematika STKIP Hamzanwadi Selong,http://e-journal.hamzanwadi.ac.id/index.php/jel,S2 Accredited
0,Jurnal Ekonomi dan Keuangan Islam,https://journal.uii.ac.id/JEKI,S2 Accredited
0,Nyimak: Journal of Communication,http://jurnal.umt.ac.id/index.php/nyimak/index,S2 Accredited
0,Jurnal Iqra' : Kajian Ilmu Pendidikan,http://journal.iaimnumetrolampung.ac.id/index.php/ji/,S2 Accredited
0,Wawasan : Jurnal Ilmiah Agama dan Sosial Budaya,http://journal.uinsgd.ac.id/index.php/jw,S2 Accredited
0,Share: Jurnal Ekonomi dan Keuangan Islam,https://jurnal.ar-raniry.ac.id/index.php/Share,S2 Accredited
0,Psychological Research on Urban Society,https://scholarhub.ui.ac.id/proust,S2 Accredited
0,International Journal of Artificial Intelligence Research,http://ijair.id/index.php/ijair,S2 Accredited
0,JPPPF (Jurnal Penelitian dan Pengembangan Pendidikan Fisika),http://journal.unj.ac.id/unj/index.php/jpppf,S2 Accredited
0,"QALAMUNA: Jurnal Pendidikan, Sosial, dan Agama",https://ejournal.insuriponorogo.ac.id/index.php/qalamuna,S2 Accredited
0,Jurnal Manajemen dan Kewirausahaan,http://jurnalmanajemen.petra.ac.id/,S2 Accredited
0,Jurnal Dakwah Risalah,http://ejournal.uin-suska.ac.id/index.php/risalah,S2 Accredited
