journal_name,journal_url,journal_accreditation
"Jurnal Dakwah Risalah","http://ejournal.uin-suska.ac.id/index.php/risalah","S2 Accredited"
"Yuridika","https://e-journal.unair.ac.id/YDK","S2 Accredited"
"Jurnal Penelitian Hukum De Jure","http://ejournal.balitbangham.go.id/index.php/dejure","S2 Accredited"
"ASEAN Marketing Journal (AMJ)","https://scholarhub.ui.ac.id/amj/","S2 Accredited"
"Jurnal Politik","https://scholarhub.ui.ac.id/politik","S2 Accredited"
"International Journal of Islamic Economics and Finance (IJIEF)","http://journal.umy.ac.id/index.php/ijief","S2 Accredited"
"JURNAL PEMBANGUNAN HUKUM INDONESIA","https://ejournal2.undip.ac.id/index.php/jphi","S2 Accredited"
"Jurnal FIlsafat","https://jurnal.ugm.ac.id/wisdom/index","S2 Accredited"
"Jurnal Prima Edukasia","http://journal.uny.ac.id/index.php/jpe","S2 Accredited"
"Jurnal ASPIKOM","http://jurnalaspikom.org/index.php/aspikom","S2 Accredited"
"JURNAL HAMA DAN PENYAKIT TUMBUHAN TROPIKA","http://jhpttropika.fp.unila.ac.id/index.php/jhpttropika","S2 Accredited"
"Jurnal HAM","http://ejournal.balitbangham.go.id/index.php/ham","S2 Accredited"
"Jurnal Elemen Program Studi Pendidikan Matematika STKIP Hamzanwadi Selong","http://e-journal.hamzanwadi.ac.id/index.php/jel","S2 Accredited"
"Jurnal Pendidikan Matematika","http://ejournal.unsri.ac.id/index.php/jpm","S2 Accredited"
"AL-TANZIM : JURNAL MANAJEMEN PENDIDIKAN ISLAM","https://ejournal.unuja.ac.id/index.php/al-tanzim/issue/archive","S2 Accredited"
"Psychological Research on Urban Society","https://scholarhub.ui.ac.id/proust","S2 Accredited"
"International Journal of Artificial Intelligence Research","http://ijair.id/index.php/ijair","S2 Accredited"
"QALAMUNA: Jurnal Pendidikan, Sosial, dan Agama","https://ejournal.insuriponorogo.ac.id/index.php/qalamuna","S2 Accredited"
"Jurnal Ekonomi dan Bisnis","http://ejournal.uksw.edu/jeb","S2 Accredited"
"Journal Sport Area","http://journal.uir.ac.id/index.php/JSP/issue/view/48","S2 Accredited"
"Jurnal Sejarah Citra Lekha","http://ejournal.undip.ac.id/index.php/jscl/index","S2 Accredited"
"Jurnal PEKOMMAS","https://jurnal.kominfo.go.id/index.php/pekommas/index","S2 Accredited"
"Jurnal Studi Komunikasi dan Media","https://jurnal.kominfo.go.id/index.php/jskm","S2 Accredited"
"JEMA: Jurnal Ilmiah Bidang Akuntansi dan Manajemen","http://riset.unisma.ac.id/index.php/jema/issue/archive","S2 Accredited"
"JPPPF (Jurnal Penelitian dan Pengembangan Pendidikan Fisika)","http://journal.unj.ac.id/unj/index.php/jpppf","S2 Accredited"
"Accounting Analysis Journal","https://journal.unnes.ac.id/sju/index.php/aaj","S2 Accredited"
"Jurnal Ilmiah Kebijakan Hukum","http://ejournal.balitbangham.go.id/index.php/kebijakan/issue/archive","S2 Accredited"
